Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.88,-14.82,132.4,19.71,-332.9,358.2,-68.3
4373452,-1.39,-26.81,66.7,12.55,-187.5,199.0,-70.4
7746904,-1.84,-40.41,40.9,9.48,-124.2,130.7,-71.8
11120356,-2.05,-55.01,26.2,8.50,-90.1,93.8,-73.8
14493808,-2.01,-70.14,17.0,8.67,-68.4,70.5,-76.0
17867260,-1.84,-82.64,11.9,9.50,-55.4,56.7,-77.9
21240712,-1.59,-94.36,8.4,10.93,-45.6,46.4,-79.5
24614164,-1.34,-104.34,6.2,12.98,-38.5,38.9,-80.9
27987616,-1.12,-113.02,4.6,15.47,-32.9,33.2,-82.0
31361068,-0.96,-120.68,3.6,18.12,-28.4,28.6,-82.7
34734520,-0.85,-127.53,3.0,20.44,-24.6,24.8,-82.9
38107972,-0.81,-133.86,2.8,21.41,-21.2,21.4,-82.6
41481424,-0.82,-139.67,2.7,21.26,-18.3,18.5,-81.7
44854876,-0.85,-145.20,2.7,20.42,-15.6,15.9,-80.2
48228328,-0.91,-150.61,2.8,19.12,-13.1,13.4,-77.9
51601780,-0.98,-155.84,2.9,17.77,-10.7,11.1,-74.6
54975232,-1.05,-161.09,3.1,16.58,-8.3,8.9,-69.5
58348684,-1.13,-166.27,3.3,15.33,-6.0,6.8,-61.1
61722136,-1.19,-171.48,3.5,14.56,-3.7,5.1,-47.0
65095588,-1.24,-176.62,3.6,14.03,-1.5,3.9,-22.4
68469040,-1.26,178.27,3.6,13.83,0.8,3.7,11.7
71842492,-1.26,173.32,3.6,13.81,2.9,4.6,38.6
75215944,-1.23,168.52,3.6,14.20,5.0,6.1,54.6
78589396,-1.18,163.86,3.5,14.73,7.1,7.9,63.9
81962848,-1.12,159.43,3.3,15.52,9.0,9.6,69.8
85336300,-1.05,155.25,3.2,16.58,10.9,11.4,73.9
88709752,-0.98,151.32,3.0,17.79,12.7,13.1,76.8
