Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.92,-14.91,134.6,18.97,-327.8,354.3,-67.7
4373452,-1.43,-27.23,66.4,12.20,-183.9,195.6,-70.2
7746904,-1.87,-40.43,41.3,9.34,-123.8,130.5,-71.5
11120356,-2.08,-54.75,26.7,8.41,-90.4,94.3,-73.5
14493808,-2.07,-69.74,17.6,8.43,-68.8,71.0,-75.6
17867260,-1.91,-82.26,12.4,9.16,-55.7,57.1,-77.4
21240712,-1.68,-94.03,8.9,10.40,-45.8,46.7,-79.0
24614164,-1.42,-104.14,6.5,12.26,-38.6,39.1,-80.4
27987616,-1.19,-112.91,4.9,14.58,-32.9,33.3,-81.5
31361068,-1.02,-120.66,3.9,17.03,-28.4,28.6,-82.2
34734520,-0.90,-127.50,3.2,19.39,-24.6,24.8,-82.6
38107972,-0.84,-133.85,2.9,20.63,-21.2,21.4,-82.3
41481424,-0.83,-139.68,2.7,20.90,-18.3,18.5,-81.6
44854876,-0.85,-145.15,2.7,20.45,-15.7,15.9,-80.3
48228328,-0.90,-150.51,2.8,19.27,-13.1,13.4,-78.1
51601780,-0.96,-155.64,2.9,18.07,-10.8,11.1,-74.9
54975232,-1.04,-160.92,3.1,16.74,-8.4,8.9,-69.9
58348684,-1.11,-166.10,3.2,15.63,-6.1,6.9,-61.8
61722136,-1.18,-171.28,3.4,14.77,-3.8,5.1,-48.1
65095588,-1.23,-176.45,3.5,14.14,-1.5,3.9,-23.5
68469040,-1.25,178.49,3.6,13.88,0.7,3.7,10.3
71842492,-1.26,173.43,3.6,13.83,2.9,4.6,38.2
75215944,-1.24,168.64,3.6,14.07,4.9,6.1,54.1
78589396,-1.19,163.94,3.5,14.59,7.0,7.8,63.5
81962848,-1.13,159.42,3.4,15.36,9.0,9.6,69.6
85336300,-1.06,155.11,3.2,16.42,11.0,11.4,73.8
88709752,-0.98,151.14,3.0,17.69,12.8,13.2,76.8
92083204,-0.91,147.23,2.8,19.16,14.7,14.9,79.1
95456656,-0.85,143.61,2.7,20.37,16.4,16.6,80.6
98830108,-0.81,140.14,2.6,21.37,18.1,18.3,81.7
102203560,-0.79,136.87,2.6,21.96,19.7,19.9,82.4
105577012,-0.77,133.60,2.6,22.65,21.4,21.5,83.0
108950464,-0.79,130.29,2.8,22.00,23.1,23.3,83.2
112323916,-0.83,127.01,3.0,20.97,24.9,25.0,83.2
115697368,-0.90,123.79,3.3,19.34,26.6,26.8,82.9
119070820,-0.98,120.49,3.8,17.66,28.5,28.7,82.5
122444272,-1.09,117.07,4.3,15.93,30.4,30.7,81.9
125817724,-1.22,113.53,5.0,14.30,32.5,32.9,81.3
129191176,-1.33,109.94,5.7,13.04,34.7,35.2,80.7
132564628,-1.47,106.11,6.6,11.87,37.2,37.8,80.0
135938080,-1.58,102.24,7.5,11.00,39.8,40.5,79.4
139311532,-1.72,98.17,8.6,10.13,42.6,43.5,78.6
142684984,-1.80,93.97,9.6,9.69,45.7,46.7,78.2
146058436,-1.87,89.73,10.6,9.34,49.1,50.2,77.8
149431888,-1.90,85.56,11.6,9.18,52.7,53.9,77.5
152805340,-1.91,81.33,12.7,9.14,56.6,58.0,77.4
156178792,-1.88,77.08,13.7,9.26,60.9,62.4,77.4
159552244,-1.85,73.07,14.7,9.44,65.4,67.0,77.4
162925696,-1.79,69.12,15.6,9.74,70.3,72.0,77.5
166299148,-1.70,65.46,16.3,10.24,75.3,77.1,77.8
169672600,-1.64,61.75,17.4,10.62,80.9,82.7,77.8
173046052,-1.55,58.45,18.2,11.25,86.5,88.4,78.1
176419504,-1.46,55.21,19.0,11.96,92.6,94.5,78.4
179792956,-1.38,52.04,20.0,12.65,99.2,101.2,78.6
183166408,-1.32,49.19,21.3,13.20,105.7,107.8,78.6
186539860,-1.26,46.29,22.7,13.86,113.1,115.4,78.7
189913312,-1.21,43.56,24.5,14.41,120.9,123.3,78.6
193286764,-1.17,40.73,26.8,14.92,129.8,132.6,78.3
196660216,-1.16,37.82,30.5,15.03,140.0,143.3,77.7
200033668,-1.16,35.32,34.8,14.97,149.7,153.7,76.9
203407120,-1.19,32.51,41.4,14.60,161.8,167.0,75.6
206780572,-1.23,29.65,50.2,14.20,175.5,182.6,74.0
210154024,-1.28,26.84,62.5,13.55,190.2,200.2,71.8
213527476,-1.34,23.79,79.8,13.02,208.3,223.1,69.0
216900928,-1.41,20.66,105.1,12.36,227.7,250.8,65.2
220274380,-1.48,17.49,141.0,11.75,247.0,284.5,60.3
223647832,-1.56,14.07,195.4,11.20,263.8,328.3,53.5
227021284,-1.62,10.57,272.6,10.72,265.7,380.7,44.3
230394736,-1.69,6.93,372.9,10.34,230.3,438.3,31.7
233768188,-1.72,3.35,465.1,10.11,136.2,484.7,16.3
