Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.75,-17.51,86.7,23.06,-300.3,312.6,-73.9
4373452,-1.31,-29.56,53.4,13.32,-174.3,182.3,-73.0
7746904,-1.74,-42.32,35.9,10.02,-119.9,125.2,-73.3
11120356,-1.95,-56.22,24.2,8.93,-88.5,91.8,-74.7
14493808,-1.98,-70.93,16.5,8.80,-67.6,69.5,-76.3
17867260,-1.84,-83.51,11.7,9.48,-54.6,55.9,-77.9
21240712,-1.63,-95.31,8.5,10.67,-44.8,45.6,-79.3
24614164,-1.38,-105.63,6.2,12.59,-37.6,38.1,-80.6
27987616,-1.16,-114.47,4.7,15.00,-32.0,32.3,-81.6
31361068,-0.97,-122.36,3.6,17.86,-27.4,27.6,-82.4
34734520,-0.83,-129.31,2.9,20.82,-23.6,23.8,-82.9
38107972,-0.77,-135.69,2.6,22.54,-20.3,20.5,-82.7
41481424,-0.74,-141.57,2.4,23.34,-17.4,17.6,-82.1
44854876,-0.75,-147.07,2.3,23.29,-14.7,14.9,-81.0
48228328,-0.78,-152.39,2.4,22.18,-12.3,12.5,-79.0
51601780,-0.83,-157.53,2.5,20.89,-9.9,10.2,-75.9
54975232,-0.90,-162.72,2.7,19.22,-7.6,8.0,-70.6
58348684,-0.98,-167.78,2.8,17.83,-5.3,6.0,-62.0
61722136,-1.03,-172.91,3.0,16.85,-3.1,4.3,-46.0
65095588,-1.09,-178.04,3.1,15.97,-0.9,3.2,-15.3
68469040,-1.12,176.95,3.2,15.51,1.3,3.5,22.4
71842492,-1.13,172.00,3.3,15.34,3.5,4.8,46.8
75215944,-1.12,167.12,3.3,15.47,5.6,6.5,59.8
78589396,-1.09,162.41,3.2,16.03,7.7,8.3,67.5
81962848,-1.04,157.92,3.1,16.77,9.7,10.2,72.3
85336300,-0.97,153.53,3.0,17.84,11.7,12.1,75.8
88709752,-0.91,149.48,2.8,19.15,13.6,13.9,78.3
92083204,-0.84,145.50,2.7,20.64,15.5,15.7,80.3
95456656,-0.78,141.80,2.5,22.32,17.3,17.5,81.7
98830108,-0.74,138.27,2.4,23.51,19.0,19.2,82.7
102203560,-0.71,134.91,2.4,24.54,20.7,20.9,83.4
105577012,-0.69,131.61,2.4,25.25,22.4,22.6,83.9
108950464,-0.69,128.28,2.5,25.18,24.2,24.3,84.2
112323916,-0.72,125.02,2.6,24.04,26.0,26.1,84.2
115697368,-0.79,121.76,3.0,22.08,27.8,27.9,83.9
119070820,-0.86,118.54,3.3,20.28,29.6,29.8,83.6
122444272,-0.96,115.17,3.8,18.20,31.6,31.8,83.1
125817724,-1.07,111.76,4.5,16.19,33.7,34.0,82.4
129191176,-1.20,108.21,5.2,14.51,35.9,36.3,81.7
132564628,-1.32,104.53,6.0,13.18,38.3,38.8,81.0
135938080,-1.44,100.71,7.0,12.05,41.0,41.5,80.3
139311532,-1.58,96.77,8.0,11.06,43.8,44.5,79.6
142684984,-1.67,92.55,9.1,10.40,47.0,47.9,79.0
146058436,-1.74,88.35,10.2,9.99,50.4,51.4,78.6
149431888,-1.80,84.20,11.4,9.67,54.0,55.2,78.1
152805340,-1.81,79.94,12.4,9.61,58.1,59.4,77.9
156178792,-1.81,75.69,13.5,9.65,62.6,64.0,77.8
159552244,-1.78,71.67,14.6,9.79,67.2,68.7,77.7
162925696,-1.72,67.61,15.6,10.13,72.4,74.0,77.8
166299148,-1.64,63.90,16.4,10.64,77.7,79.4,78.1
169672600,-1.56,60.14,17.5,11.14,83.7,85.5,78.2
173046052,-1.47,56.76,18.2,11.88,89.7,91.5,78.5
176419504,-1.36,53.47,18.9,12.76,96.3,98.2,78.9
179792956,-1.29,50.31,20.0,13.51,103.3,105.2,79.0
183166408,-1.21,47.34,21.0,14.38,110.7,112.7,79.2
186539860,-1.13,44.52,22.1,15.40,118.7,120.7,79.5
189913312,-1.09,41.76,23.9,16.02,127.2,129.4,79.3
193286764,-1.04,38.99,26.0,16.79,136.9,139.3,79.2
196660216,-1.01,36.13,29.3,17.20,148.1,150.9,78.8
200033668,-1.02,33.60,33.8,17.08,159.1,162.6,78.0
203407120,-1.04,30.89,40.3,16.70,172.2,176.9,76.8
206780572,-1.07,28.09,49.2,16.29,187.8,194.1,75.3
210154024,-1.12,25.38,61.7,15.53,204.4,213.5,73.2
213527476,-1.18,22.40,80.2,14.79,225.1,238.9,70.4
216900928,-1.24,19.38,107.4,14.00,248.0,270.2,66.6
220274380,-1.32,16.21,148.5,13.20,272.1,310.0,61.4
223647832,-1.41,12.80,214.1,12.36,291.4,361.6,53.7
227021284,-1.48,9.46,304.1,11.74,291.4,421.1,43.8
230394736,-1.55,5.87,422.3,11.21,240.3,485.9,29.6
233768188,-1.61,2.23,519.2,10.84,108.5,530.4,11.8
237141640,-1.65,-1.61,516.1,10.55,-75.5,521.6,-8.3
240515092,-1.66,-5.39,423.2,10.51,-206.8,471.0,-26.0
243888544,-1.65,-9.25,307.1,10.55,-258.0,401.1,-40.0
247261996,-1.64,-13.15,215.3,10.64,-258.2,336.2,-50.2
250635448,-1.59,-16.90,153.3,10.97,-242.5,286.9,-57.7
254008900,-1.54,-20.73,110.8,11.30,-219.7,246.1,-63.3
257382352,-1.44,-24.38,80.8,12.11,-200.6,216.2,-68.1
260755804,-1.36,-28.01,60.7,12.81,-181.4,191.3,-71.5
264129256,-1.26,-31.40,46.3,13.82,-166.0,172.3,-74.4
267502708,-1.15,-34.78,35.4,15.15,-152.2,156.3,-76.9
270876160,-1.06,-37.94,27.9,16.46,-140.5,143.3,-78.8
274249612,-0.97,-41.00,22.2,17.94,-130.4,132.3,-80.3
277623064,-0.90,-43.98,18.1,19.42,-121.5,122.9,-81.5
280996516,-0.82,-46.86,14.8,21.09,-113.7,114.7,-82.6
284369968,-0.77,-49.54,12.4,22.67,-107.2,107.9,-83.4
287743420,-0.73,-52.39,10.7,23.84,-100.7,101.3,-83.9
291116872,-0.72,-55.12,9.6,24.13,-95.0,95.5,-84.2
294490324,-0.74,-57.74,9.1,23.50,-90.0,90.4,-84.2
297863776,-0.77,-60.37,8.7,22.49,-85.3,85.7,-84.1
