Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.77,-16.79,95.8,22.45,-309.9,324.4,-72.8
4373452,-1.33,-28.75,57.0,13.07,-178.1,187.0,-72.3
7746904,-1.78,-41.61,37.8,9.78,-121.4,127.2,-72.7
11120356,-2.00,-55.63,25.2,8.71,-89.3,92.8,-74.2
14493808,-2.04,-70.48,17.1,8.55,-67.9,70.1,-75.9
17867260,-1.89,-83.14,12.2,9.21,-54.9,56.2,-77.5
21240712,-1.68,-95.01,8.8,10.40,-45.0,45.9,-79.0
24614164,-1.42,-105.29,6.4,12.28,-37.8,38.3,-80.4
27987616,-1.19,-114.17,4.9,14.58,-32.1,32.5,-81.4
31361068,-1.00,-122.04,3.7,17.41,-27.6,27.8,-82.3
34734520,-0.86,-128.96,3.0,20.20,-23.8,24.0,-82.7
38107972,-0.79,-135.35,2.7,22.03,-20.5,20.7,-82.6
41481424,-0.76,-141.10,2.4,23.01,-17.6,17.8,-82.1
44854876,-0.76,-146.55,2.4,22.91,-15.0,15.2,-81.0
48228328,-0.80,-151.88,2.4,21.80,-12.5,12.7,-79.0
51601780,-0.85,-156.94,2.6,20.39,-10.2,10.5,-75.9
54975232,-0.92,-162.11,2.7,18.85,-7.8,8.3,-70.9
58348684,-1.00,-167.19,2.9,17.36,-5.6,6.3,-62.5
61722136,-1.07,-172.31,3.1,16.32,-3.3,4.5,-47.4
65095588,-1.12,-177.40,3.2,15.54,-1.1,3.4,-19.4
68469040,-1.16,177.54,3.3,15.05,1.1,3.5,17.8
71842492,-1.18,172.54,3.4,14.79,3.2,4.7,43.7
75215944,-1.16,167.69,3.4,14.94,5.4,6.3,57.8
78589396,-1.13,162.94,3.3,15.35,7.5,8.2,66.0
81962848,-1.09,158.32,3.2,16.02,9.5,10.1,71.3
85336300,-1.02,153.96,3.1,17.09,11.5,11.9,75.0
88709752,-0.95,149.86,2.9,18.30,13.4,13.7,77.7
92083204,-0.87,145.93,2.7,19.90,15.3,15.5,79.8
95456656,-0.81,142.19,2.6,21.35,17.1,17.3,81.3
98830108,-0.76,138.71,2.5,22.79,18.8,19.0,82.4
102203560,-0.73,135.33,2.4,23.88,20.5,20.6,83.2
105577012,-0.70,132.09,2.4,24.68,22.2,22.3,83.8
108950464,-0.71,128.67,2.5,24.45,24.0,24.1,84.0
112323916,-0.74,125.46,2.7,23.62,25.7,25.9,84.1
115697368,-0.80,122.29,3.0,21.61,27.5,27.6,83.7
119070820,-0.88,119.07,3.4,19.82,29.3,29.5,83.4
122444272,-0.97,115.69,3.9,17.84,31.3,31.5,82.9
125817724,-1.10,112.28,4.6,15.84,33.4,33.7,82.2
129191176,-1.22,108.76,5.3,14.28,35.6,36.0,81.5
132564628,-1.35,105.02,6.1,12.87,38.0,38.5,80.8
135938080,-1.48,101.25,7.1,11.75,40.5,41.2,80.1
139311532,-1.61,97.24,8.2,10.81,43.4,44.1,79.4
142684984,-1.70,93.09,9.2,10.26,46.5,47.4,78.8
146058436,-1.77,88.82,10.3,9.84,50.0,51.0,78.4
149431888,-1.83,84.56,11.4,9.55,53.7,54.9,78.0
152805340,-1.83,80.29,12.5,9.51,57.7,59.1,77.8
156178792,-1.83,76.04,13.6,9.51,62.1,63.6,77.6
159552244,-1.81,71.96,14.7,9.65,66.8,68.4,77.6
162925696,-1.75,67.95,15.7,9.96,71.9,73.6,77.7
166299148,-1.66,64.31,16.5,10.48,77.0,78.8,77.9
169672600,-1.58,60.53,17.5,10.99,83.0,84.8,78.1
173046052,-1.50,57.11,18.4,11.63,89.0,90.8,78.3
176419504,-1.39,53.83,19.0,12.52,95.5,97.4,78.7
179792956,-1.32,50.79,20.1,13.16,102.1,104.1,78.8
183166408,-1.24,47.77,21.2,14.05,109.5,111.5,79.1
186539860,-1.17,44.91,22.5,14.83,117.3,119.4,79.1
189913312,-1.12,42.13,24.3,15.50,125.7,128.1,79.1
193286764,-1.08,39.39,26.6,16.06,135.1,137.6,78.9
196660216,-1.06,36.56,29.9,16.42,145.8,148.9,78.4
200033668,-1.07,34.08,34.4,16.29,156.2,160.0,77.6
203407120,-1.10,31.30,41.2,15.88,169.2,174.2,76.3
206780572,-1.13,28.47,50.4,15.41,184.2,191.0,74.7
210154024,-1.18,25.74,62.8,14.75,200.2,209.8,72.6
213527476,-1.23,22.77,80.9,14.12,219.8,234.2,69.8
216900928,-1.31,19.79,107.3,13.32,240.5,263.4,66.0
220274380,-1.38,16.52,147.7,12.66,264.1,302.6,60.8
223647832,-1.46,13.22,207.5,11.95,281.6,349.8,53.6
227021284,-1.53,9.80,293.6,11.40,282.8,407.7,43.9
230394736,-1.59,6.20,406.0,10.94,238.1,470.7,30.4
233768188,-1.65,2.58,499.1,10.54,117.4,512.7,13.2
237141640,-1.67,-1.24,515.8,10.45,-57.7,519.0,-6.4
240515092,-1.69,-5.04,428.8,10.32,-192.6,470.0,-24.2
243888544,-1.67,-8.82,318.7,10.44,-252.5,406.6,-38.4
247261996,-1.66,-12.66,225.6,10.48,-256.7,341.7,-48.7
250635448,-1.60,-16.38,160.9,10.88,-244.7,292.9,-56.7
254008900,-1.55,-20.17,116.1,11.23,-223.0,251.4,-62.5
257382352,-1.46,-23.78,85.1,11.95,-203.6,220.7,-67.3
260755804,-1.36,-27.39,63.4,12.76,-184.8,195.4,-71.1
264129256,-1.27,-30.71,48.6,13.69,-169.1,176.0,-74.0
267502708,-1.17,-34.05,37.4,14.90,-155.1,159.5,-76.5
270876160,-1.07,-37.15,29.4,16.22,-143.4,146.4,-78.4
274249612,-0.98,-40.14,23.5,17.67,-133.2,135.3,-80.0
277623064,-0.91,-43.18,19.0,19.05,-123.8,125.3,-81.3
280996516,-0.85,-46.00,15.7,20.56,-116.0,117.1,-82.3
284369968,-0.79,-48.77,13.1,22.11,-109.0,109.8,-83.1
287743420,-0.75,-51.51,11.3,23.30,-102.6,103.3,-83.7
291116872,-0.73,-54.27,10.1,23.74,-96.7,97.3,-84.1
294490324,-0.74,-56.85,9.4,23.34,-91.6,92.1,-84.1
297863776,-0.77,-59.54,8.9,22.55,-86.7,87.2,-84.1
301237228,-0.81,-62.17,8.6,21.58,-82.3,82.7,-84.0
304610680,-0.88,-64.91,8.7,19.79,-77.9,78.4,-83.6
307984132,-0.94,-67.80,8.6,18.54,-73.7,74.2,-83.3
311357584,-1.03,-70.61,8.8,16.96,-69.9,70.4,-82.8
314731036,-1.13,-73.55,9.0,15.42,-66.1,66.7,-82.3
318104488,-1.22,-76.76,9.0,14.23,-62.3,63.0,-81.7
321477940,-1.34,-79.86,9.3,12.95,-58.9,59.6,-81.0
324851392,-1.47,-83.41,9.5,11.82,-55.2,56.0,-80.3
328224844,-1.59,-86.95,9.5,10.98,-51.8,52.7,-79.6
331598296,-1.71,-90.52,9.6,10.21,-48.6,49.6,-78.8
334971748,-1.80,-94.27,9.5,9.70,-45.5,46.5,-78.2
338345200,-1.87,-98.18,9.3,9.31,-42.5,43.5,-77.6
341718652,-1.93,-102.07,9.1,9.06,-39.6,40.7,-77.1
345092104,-1.97,-106.06,8.8,8.87,-36.9,37.9,-76.6
348465556,-1.98,-110.07,8.4,8.79,-34.3,35.3,-76.2
351839008,-1.97,-114.06,8.0,8.86,-31.8,32.8,-75.9
355212460,-1.93,-117.92,7.5,9.05,-29.6,30.5,-75.8
358585912,-1.89,-121.69,7.1,9.24,-27.5,28.4,-75.6
361959364,-1.81,-125.19,6.6,9.62,-25.6,26.4,-75.6
365332816,-1.74,-128.82,6.1,10.01,-23.7,24.4,-75.5
368706268,-1.68,-132.21,5.8,10.38,-21.9,22.7,-75.3
372079720,-1.61,-135.48,5.4,10.80,-20.3,21.0,-75.1
375453172,-1.54,-138.54,5.1,11.30,-18.8,19.4,-74.9
378826624,-1.49,-141.59,4.8,11.68,-17.3,17.9,-74.5
382200076,-1.44,-144.51,4.6,12.09,-15.9,16.5,-74.0
385573528,-1.41,-147.38,4.4,12.35,-14.5,15.2,-73.2
388946980,-1.40,-150.23,4.3,12.42,-13.2,13.9,-71.9
392320432,-1.40,-153.01,4.2,12.45,-11.9,12.7,-70.4
395693884,-1.41,-155.70,4.2,12.31,-10.7,11.5,-68.3
399067336,-1.44,-158.57,4.3,12.10,-9.4,10.3,-65.5
402440788,-1.49,-161.32,4.4,11.65,-8.2,9.3,-61.6
