Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
334971748,-0.74,147.50,2.3,23.43,14.5,14.7,81.0
338345200,-0.77,146.14,2.4,22.54,15.2,15.4,80.9
341718652,-0.76,144.78,2.4,22.96,15.8,16.0,81.4
345092104,-0.73,143.32,2.3,23.69,16.5,16.7,81.9
348465556,-0.67,141.95,2.2,25.95,17.2,17.3,82.9
351839008,-0.61,140.82,2.0,28.68,17.8,17.9,83.7
355212460,-0.50,139.72,1.6,35.09,18.3,18.4,85.0
358585912,-0.38,138.66,1.3,45.42,18.9,18.9,86.2
361959364,-0.27,138.01,0.9,64.77,19.2,19.2,87.4
365332816,-0.13,137.41,0.4,132.50,19.5,19.5,88.7
368706268,-0.03,136.99,0.1,638.68,19.7,19.7,89.7
372079720,0.00,136.72,0.0,?,19.8,19.8,90.0
375453172,0.00,136.55,0.0,?,19.9,19.9,90.0
378826624,0.00,136.38,0.0,?,20.0,20.0,90.0
382200076,0.00,136.34,0.0,?,20.0,20.0,90.0
385573528,0.00,136.39,0.0,?,20.0,20.0,90.0
388946980,0.00,136.23,0.0,?,20.1,20.1,90.0
392320432,0.00,136.23,0.0,?,20.1,20.1,90.0
395693884,0.00,136.06,0.0,?,20.2,20.2,90.0
399067336,-0.02,135.75,0.1,752.70,20.3,20.3,89.8
402440788,-0.13,135.36,0.4,129.85,20.5,20.5,88.7
405814240,-0.26,134.87,0.9,67.33,20.8,20.8,87.6
409187692,-0.40,134.22,1.4,43.01,21.1,21.1,86.3
412561144,-0.56,133.33,1.9,30.90,21.5,21.6,84.9
415934596,-0.72,132.22,2.5,24.30,22.1,22.2,83.6
419308048,-0.86,130.99,3.0,20.25,22.7,22.9,82.5
422681500,-1.02,129.51,3.6,16.99,23.5,23.7,81.3
426054952,-1.17,127.82,4.2,14.87,24.3,24.7,80.3
429428404,-1.32,126.02,4.8,13.23,25.3,25.7,79.4
432801856,-1.44,124.01,5.3,12.12,26.4,26.9,78.7
436175308,-1.57,121.81,5.9,11.09,27.5,28.2,77.9
439548760,-1.65,119.69,6.3,10.56,28.7,29.4,77.6
442922212,-1.77,117.30,6.9,9.85,30.0,30.8,77.0
446295664,-1.85,115.04,7.4,9.41,31.3,32.2,76.7
449669116,-1.95,112.89,8.0,8.94,32.6,33.5,76.2
453042568,-2.08,110.83,8.7,8.39,33.8,34.9,75.5
456416020,-2.24,108.98,9.6,7.81,34.8,36.1,74.6
459789472,-2.46,107.48,10.7,7.11,35.6,37.1,73.3
463162924,-2.81,106.13,12.4,6.24,36.1,38.2,71.1
466536376,-3.25,105.41,14.3,5.40,36.1,38.8,68.3
469909828,-3.84,105.60,16.7,4.59,35.2,39.0,64.6
473283280,-4.59,106.93,19.3,3.87,33.3,38.5,59.9
476656732,-5.46,109.95,21.7,3.28,30.4,37.4,54.5
480030184,-6.33,115.31,23.3,2.87,26.5,35.3,48.7
483403636,-7.00,123.13,23.7,2.61,22.2,32.5,43.1
486777088,-7.19,132.16,22.8,2.55,18.2,29.2,38.7
490150540,-6.84,140.66,20.8,2.67,15.1,25.7,36.0
493523992,-6.17,146.68,18.4,2.93,13.1,22.6,35.4
496897444,-5.36,150.55,15.9,3.34,11.9,19.8,36.8
500270896,-4.59,152.30,13.6,3.87,11.5,17.8,40.0
503644348,-3.94,152.82,11.8,4.48,11.5,16.4,44.2
507017800,-3.40,152.75,10.2,5.18,11.6,15.5,48.8
510391252,-2.99,152.14,9.0,5.88,12.0,15.0,53.1
513764704,-2.67,151.24,8.1,6.56,12.5,14.9,57.0
517138156,-2.45,150.10,7.5,7.13,13.1,15.1,60.1
520511608,-2.30,148.87,7.1,7.61,13.7,15.4,62.7
523885060,-2.19,147.58,6.8,7.98,14.3,15.8,64.6
527258512,-2.11,146.17,6.6,8.27,15.0,16.3,66.2
530631964,-2.05,144.64,6.5,8.52,15.7,17.0,67.6
534005416,-2.01,143.11,6.4,8.68,16.4,17.6,68.7
537378868,-1.97,141.52,6.3,8.84,17.2,18.3,69.8
540752320,-1.94,139.89,6.3,8.99,18.0,19.1,70.7
544125772,-1.88,138.08,6.2,9.30,18.9,19.9,72.0
547499224,-1.80,136.38,6.0,9.70,19.8,20.6,73.2
550872676,-1.70,134.66,5.7,10.23,20.7,21.4,74.5
554246128,-1.58,133.02,5.4,11.03,21.5,22.2,76.0
557619580,-1.46,131.48,5.0,11.95,22.3,22.9,77.3
560993032,-1.31,130.20,4.6,13.28,23.0,23.5,78.8
564366484,-1.11,128.93,3.9,15.62,23.8,24.1,80.6
567739936,-0.94,127.83,3.3,18.50,24.4,24.6,82.2
571113388,-0.78,127.02,2.8,22.22,24.9,25.0,83.6
574486840,-0.61,126.50,2.2,28.71,25.2,25.3,85.0
577860292,-0.44,126.03,1.6,39.44,25.4,25.5,86.4
581233744,-0.30,125.83,1.1,57.65,25.6,25.6,87.5
584607196,-0.17,125.71,0.6,101.45,25.6,25.6,88.6
587980648,-0.08,125.88,0.3,227.42,25.5,25.5,89.4
591354100,-0.01,125.96,0.0,060.28,25.5,25.5,89.9
594727552,0.00,126.03,0.0,?,25.5,25.5,90.0
598101004,0.00,126.23,0.0,?,25.4,25.4,90.0
601474456,0.00,126.43,0.0,?,25.2,25.2,90.0
604847908,-0.03,126.46,0.1,512.78,25.2,25.2,89.7
608221360,-0.10,126.37,0.4,169.53,25.3,25.3,89.2
611594812,-0.20,126.37,0.7,88.83,25.3,25.3,88.4
614968264,-0.30,126.18,1.1,58.69,25.4,25.4,87.6
618341716,-0.40,125.81,1.4,43.53,25.6,25.6,86.8
621715168,-0.51,125.21,1.9,34.06,25.9,26.0,85.9
625088620,-0.62,124.61,2.3,27.89,26.2,26.3,85.0
628462072,-0.74,123.70,2.7,23.56,26.7,26.8,84.2
631835524,-0.84,122.83,3.1,20.64,27.2,27.3,83.4
