Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.96,-13.71,159.7,18.16,-342.7,378.1,-65.0
4373452,-1.44,-25.61,74.3,12.11,-193.0,206.8,-69.0
7746904,-1.90,-39.81,43.1,9.18,-125.1,132.3,-71.0
11120356,-2.07,-54.91,26.6,8.41,-90.1,94.0,-73.6
14493808,-1.98,-70.16,16.7,8.83,-68.5,70.5,-76.3
17867260,-1.78,-82.62,11.5,9.82,-55.6,56.7,-78.3
21240712,-1.52,-94.20,8.1,11.47,-45.8,46.5,-80.0
24614164,-1.26,-103.99,5.8,13.85,-38.7,39.2,-81.5
27987616,-1.06,-112.53,4.4,16.41,-33.2,33.5,-82.5
31361068,-0.92,-120.17,3.5,18.90,-28.7,28.9,-83.0
34734520,-0.84,-126.86,3.0,20.77,-24.9,25.1,-83.1
38107972,-0.82,-133.18,2.8,21.20,-21.6,21.8,-82.6
41481424,-0.85,-138.99,2.8,20.44,-18.6,18.9,-81.5
44854876,-0.89,-144.56,2.8,19.44,-15.9,16.2,-79.9
48228328,-0.98,-149.98,3.0,17.80,-13.4,13.7,-77.3
51601780,-1.05,-155.27,3.2,16.50,-10.9,11.4,-73.8
54975232,-1.14,-160.63,3.4,15.21,-8.5,9.1,-68.3
58348684,-1.21,-165.88,3.5,14.37,-6.2,7.1,-60.2
61722136,-1.27,-171.10,3.7,13.73,-3.9,5.3,-46.6
65095588,-1.31,-176.27,3.8,13.30,-1.6,4.1,-23.3
68469040,-1.32,178.64,3.8,13.17,0.6,3.8,8.8
71842492,-1.31,173.72,3.8,13.29,2.7,4.7,35.8
75215944,-1.27,168.94,3.7,13.66,4.8,6.1,52.5
78589396,-1.21,164.37,3.5,14.36,6.8,7.7,62.5
81962848,-1.15,160.04,3.4,15.18,8.8,9.4,68.8
85336300,-1.07,155.90,3.2,16.33,10.6,11.1,73.2
88709752,-1.00,152.05,3.0,17.41,12.4,12.8,76.2
92083204,-0.93,148.32,2.9,18.74,14.1,14.4,78.5
95456656,-0.88,144.81,2.8,19.78,15.8,16.1,80.0
98830108,-0.84,141.46,2.7,20.59,17.4,17.6,81.1
102203560,-0.82,138.25,2.7,21.08,19.0,19.2,81.9
