Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,0.00,-18.74,0.0,?,-303.0,303.0,-90.0
4373452,0.00,-27.15,0.0,?,-207.1,207.1,-90.0
7746904,-0.26,-37.50,7.2,66.94,-147.0,147.1,-87.2
11120356,-0.58,-49.18,9.5,30.08,-108.6,109.0,-85.0
14493808,-0.75,-61.67,8.1,23.25,-83.2,83.6,-84.4
17867260,-0.70,-72.39,5.8,24.78,-68.0,68.3,-85.2
21240712,-0.57,-82.58,3.8,30.52,-56.8,56.9,-86.2
24614164,-0.39,-91.15,2.2,45.11,-49.0,49.0,-87.5
27987616,-0.18,-98.31,0.9,95.33,-43.2,43.2,-88.8
31361068,0.00,-104.36,0.0,?,-38.8,38.8,-90.0
34734520,0.00,-109.51,0.0,?,-35.3,35.3,-90.0
38107972,0.00,-113.86,0.0,?,-32.6,32.6,-90.0
41481424,0.00,-117.57,0.0,?,-30.3,30.3,-90.0
44854876,0.00,-120.90,0.0,?,-28.3,28.3,-90.0
48228328,0.00,-123.86,0.0,?,-26.7,26.7,-90.0
51601780,0.00,-126.65,0.0,?,-25.1,25.1,-90.0
54975232,0.00,-129.29,0.0,?,-23.7,23.7,-90.0
58348684,0.00,-132.11,0.0,?,-22.2,22.2,-90.0
61722136,0.00,-134.69,0.0,?,-20.9,20.9,-90.0
65095588,0.00,-137.44,0.0,?,-19.5,19.5,-90.0
68469040,-0.07,-140.12,0.2,251.09,-18.1,18.1,-89.3
71842492,-0.13,-142.77,0.4,136.01,-16.8,16.8,-88.6
75215944,-0.19,-145.36,0.6,91.67,-15.6,15.6,-87.8
78589396,-0.22,-147.88,0.7,77.69,-14.4,14.4,-87.2
81962848,-0.21,-150.24,0.7,82.02,-13.3,13.3,-87.2
85336300,-0.20,-152.49,0.6,85.10,-12.2,12.3,-87.1
88709752,-0.17,-154.50,0.5,102.29,-11.3,11.3,-87.4
92083204,-0.12,-156.36,0.4,141.75,-10.5,10.5,-88.0
