Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.90,-17.52,99.9,19.39,-291.0,307.7,-71.0
4373452,-1.39,-29.86,55.2,12.53,-171.0,179.7,-72.1
7746904,-1.79,-42.06,37.2,9.74,-120.1,125.7,-72.8
11120356,-2.01,-55.40,25.4,8.68,-89.6,93.2,-74.2
14493808,-2.10,-69.73,17.9,8.32,-68.7,71.0,-75.4
17867260,-2.01,-82.27,13.1,8.70,-55.5,57.0,-76.8
21240712,-1.85,-94.23,9.8,9.44,-45.5,46.5,-77.9
24614164,-1.64,-104.71,7.4,10.65,-38.0,38.8,-78.9
27987616,-1.42,-113.91,5.8,12.29,-32.2,32.7,-79.8
31361068,-1.22,-122.04,4.6,14.28,-27.5,27.9,-80.6
34734520,-1.06,-129.22,3.7,16.42,-23.6,23.9,-81.0
38107972,-0.96,-135.76,3.2,18.06,-20.3,20.5,-81.0
41481424,-0.90,-141.70,2.9,19.27,-17.3,17.6,-80.5
44854876,-0.88,-147.28,2.7,19.86,-14.6,14.9,-79.4
48228328,-0.87,-152.58,2.7,19.97,-12.2,12.4,-77.7
51601780,-0.90,-157.71,2.7,19.33,-9.8,10.2,-74.7
54975232,-0.94,-162.84,2.8,18.47,-7.5,8.0,-69.8
58348684,-0.98,-167.79,2.9,17.68,-5.3,6.0,-61.8
61722136,-1.03,-172.82,3.0,16.82,-3.1,4.3,-46.3
65095588,-1.08,-177.79,3.1,16.11,-1.0,3.3,-17.2
68469040,-1.11,177.28,3.2,15.71,1.2,3.4,20.3
71842492,-1.12,172.42,3.2,15.47,3.3,4.6,45.4
75215944,-1.13,167.70,3.3,15.40,5.4,6.3,58.5
78589396,-1.12,163.02,3.3,15.56,7.4,8.1,66.2
81962848,-1.09,158.50,3.3,15.92,9.5,10.0,71.0
85336300,-1.05,154.12,3.2,16.61,11.4,11.9,74.5
88709752,-1.00,149.91,3.1,17.41,13.4,13.7,77.0
92083204,-0.95,145.90,3.0,18.26,15.3,15.6,78.9
95456656,-0.91,142.01,2.9,19.05,17.2,17.4,80.3
98830108,-0.88,138.27,2.9,19.67,19.0,19.2,81.3
102203560,-0.86,134.73,2.9,20.15,20.8,21.0,82.0
105577012,-0.84,131.26,2.9,20.62,22.6,22.8,82.6
108950464,-0.85,127.75,3.0,20.54,24.5,24.6,83.0
112323916,-0.86,124.31,3.2,20.20,26.3,26.5,83.1
115697368,-0.91,121.06,3.5,19.08,28.2,28.4,83.0
119070820,-0.97,117.73,3.8,17.93,30.1,30.3,82.8
122444272,-1.05,114.34,4.3,16.64,32.1,32.4,82.5
125817724,-1.14,110.95,4.8,15.22,34.2,34.5,82.0
129191176,-1.24,107.47,5.5,14.01,36.4,36.8,81.4
132564628,-1.36,103.87,6.3,12.81,38.8,39.3,80.8
135938080,-1.47,100.26,7.1,11.83,41.3,41.9,80.2
139311532,-1.61,96.54,8.2,10.85,43.9,44.7,79.4
142684984,-1.71,92.49,9.3,10.18,47.0,47.9,78.8
146058436,-1.82,88.56,10.6,9.60,50.1,51.2,78.1
149431888,-1.89,84.54,11.8,9.23,53.6,54.9,77.6
152805340,-1.96,80.46,13.2,8.91,57.4,58.9,77.0
156178792,-2.00,76.26,14.7,8.73,61.5,63.3,76.6
159552244,-2.03,72.27,16.3,8.61,65.9,67.9,76.1
162925696,-2.02,68.28,17.8,8.65,70.7,72.9,75.8
166299148,-1.97,64.57,19.2,8.85,75.7,78.1,75.8
169672600,-1.95,60.75,21.1,8.95,81.3,84.0,75.5
173046052,-1.89,57.25,22.7,9.22,87.1,90.0,75.4
176419504,-1.83,53.88,24.5,9.52,93.3,96.5,75.3
179792956,-1.78,50.62,26.6,9.82,100.0,103.5,75.1
183166408,-1.72,47.54,28.9,10.13,107.1,110.9,74.9
186539860,-1.67,44.65,31.5,10.42,114.4,118.7,74.6
189913312,-1.62,41.78,34.6,10.73,122.6,127.4,74.2
193286764,-1.59,38.93,38.5,10.97,131.5,137.1,73.7
196660216,-1.58,36.01,44.0,11.04,141.6,148.3,72.7
200033668,-1.57,33.47,50.0,11.06,151.3,159.3,71.7
203407120,-1.59,30.67,58.7,10.95,162.8,173.0,70.2
206780572,-1.62,27.89,70.2,10.76,175.1,188.6,68.2
210154024,-1.66,25.20,84.7,10.51,187.7,205.9,65.7
213527476,-1.71,22.41,104.4,10.17,200.6,226.1,62.5
216900928,-1.78,19.57,131.0,9.78,212.3,249.5,58.3
220274380,-1.85,16.61,166.3,9.44,221.8,277.2,53.1
223647832,-1.92,13.59,212.2,9.08,223.6,308.2,46.5
227021284,-2.00,10.44,268.8,8.71,209.5,340.8,37.9
230394736,-2.08,7.25,328.4,8.39,171.4,370.5,27.6
233768188,-2.15,3.97,376.9,8.13,104.5,391.1,15.5
237141640,-2.21,0.55,395.4,7.92,14.8,395.7,2.1
240515092,-2.25,-2.95,373.6,7.76,-73.4,380.7,-11.1
243888544,-2.27,-6.37,326.4,7.70,-137.0,354.0,-22.8
247261996,-2.29,-9.94,267.0,7.64,-173.1,318.1,-33.0
250635448,-2.28,-13.44,214.1,7.67,-187.6,284.7,-41.2
254008900,-2.25,-17.01,169.0,7.77,-189.0,253.5,-48.2
257382352,-2.18,-20.33,135.0,8.00,-184.8,228.9,-53.8
260755804,-2.13,-23.80,107.5,8.20,-175.1,205.4,-58.5
264129256,-2.05,-27.03,86.8,8.51,-165.6,187.0,-62.3
267502708,-1.97,-30.26,70.5,8.87,-155.5,170.8,-65.6
270876160,-1.89,-33.38,58.1,9.22,-145.7,156.9,-68.2
274249612,-1.82,-36.36,48.7,9.57,-136.7,145.2,-70.4
277623064,-1.75,-39.26,41.1,9.98,-128.6,135.0,-72.3
280996516,-1.68,-42.02,35.2,10.39,-121.4,126.4,-73.8
284369968,-1.61,-44.75,30.4,10.81,-114.6,118.6,-75.2
287743420,-1.56,-47.46,26.5,11.17,-108.3,111.5,-76.2
291116872,-1.53,-50.14,23.6,11.39,-102.5,105.1,-77.0
294490324,-1.54,-52.71,21.7,11.33,-97.1,99.5,-77.4
297863776,-1.55,-55.33,20.1,11.24,-92.0,94.1,-77.7
